264201	178580	4	2
265311	241667	4	21
285420	285419	4	11
286158	286197	5	1
49868	49869	4	8
5166	69	4	23
6020	150647	4	14
71591	71587	3	7
74932	222202	4	8
81936	81943	4	10
86644	86234	4	10
90856	200029	4	14
92363	92368	4	4
132183	60373	4	2
166538	284254	4	23
171447	214551	4	2
222792	222793	4	25
228769	221078	4	14
264614	264615	4	25
281702	114999	4	11
282562	282561	4	10
36805	100187	4	23
46395	46402	4	25
46749	46752	4	14
10077	8687	4	4
129914	129913	4	5
218305	218298	4	5
225050	225080	4	25
232445	59087	4	27
259376	259375	4	14
62511	62515	4	24
73385	73382	4	14
100599	113192	4	25
14303	135468	4	27
154798	156759	4	2
161825	161824	4	11
168439	98900	4	2
178870	170095	3	15
189570	189648	2	10
191160	191159	4	2
20758	31592	4	24
250991	251007	4	12
277336	277337	4	25
289285	289335	5	1
38466	38459	4	4
59111	59092	4	23
74084	74076	4	10
81845	82233	3	15
96390	214394	4	14
102296	102289	4	10
109101	109102	4	24
139752	58756	2	10
14683	14685	4	23
158846	158845	4	10
178829	192245	4	14
189533	144917	2	14
206508	206509	4	25
20667	149891	4	14
286035	286034	4	2
2901	4741	4	2
291893	295525	4	24
38441	36516	4	23
123011	125718	4	2
167011	167012	4	24
178027	65165	4	14
18631	18627	4	10
187509	176917	5	1
210881	49826	4	14
216621	57523	5	1
220937	220931	3	13
22104	7621	4	11
22837	22831	4	23
269016	268090	4	2
289569	289570	4	24
30500	163593	5	1
59532	59522	4	2
73381	90770	4	25
77994	78133	4	14
103264	103277	4	24
124667	124668	4	24
175044	213624	3	10
203599	203600	4	26
223914	223017	4	10
250842	56976	2	11
32621	32622	4	26
3530	69	4	23
136306	138011	3	22
156377	145876	4	25
192569	241802	4	16
222992	225997	3	4
223572	223571	4	10
227332	215025	5	1
242476	242498	4	25
260927	270901	5	1
280946	280949	4	24
290490	230834	4	10
290982	67759	4	15
73967	145347	4	14
88236	122645	4	2
128069	128070	4	5
129953	107001	4	2
16203	22423	5	1
199091	229052	5	1
209641	205246	4	5
211294	118878	4	4
21991	21990	4	23
239864	232121	4	14
250549	250550	4	27
285869	285878	5	1
43244	43185	4	23
45495	45499	4	25
78368	78370	4	23
90569	114603	4	24
102530	102543	4	23
106596	256090	2	26
136477	179422	4	10
143357	138293	4	23
163751	169006	4	24
164916	164917	5	1
223026	25433	4	23
233666	226692	3	9
239763	233205	2	10
242812	57774	4	8
25252	47496	4	23
261396	236875	4	23
266676	266675	4	10
276863	76677	4	8
38116	38115	4	3
68953	68949	4	10
74265	87528	2	11
8899	53711	4	2
92983	92994	4	10
104951	9643	2	5
123342	121557	4	5
147812	53194	4	15
16203	128417	5	1
166822	126658	4	23
197318	199537	4	24
